Epoch,Training_erros,Validation_errors
0,0.044322909,0.04349998
1,0.040954679,0.038601314
2,0.038542611,0.034301969
3,0.031821433,0.030832872
4,0.032668821,0.027866532
5,0.027336666,0.025389289
6,0.025507994,0.023463359
7,0.023915243,0.021876638
8,0.019196674,0.020633566
9,0.020486534,0.019601675
10,0.021420082,0.018782486
11,0.018861021,0.018131454
12,0.018016245,0.017580859
13,0.015996819,0.017162497
14,0.017935649,0.016818819
15,0.018058397,0.016503181
16,0.017317052,0.016220354
17,0.01624216,0.01592997
18,0.016463185,0.015703087
19,0.014722042,0.015485958
20,0.015259103,0.015264736
21,0.014915391,0.015086883
22,0.013814853,0.014891394
23,0.015463806,0.014717298
24,0.012881524,0.014591612
25,0.014304707,0.01451906
26,0.014090425,0.014417536
27,0.013449825,0.01430449
28,0.015365751,0.014207702
29,0.013156344,0.01412057
30,0.013730449,0.014031714
31,0.012471418,0.013922312
32,0.014268762,0.013784951
33,0.013061477,0.013662029
34,0.013902722,0.013582286
35,0.011745681,0.013457899
36,0.012970299,0.013323124
37,0.012053451,0.013186967
38,0.012472769,0.013095948
39,0.01143292,0.013004236
40,0.013571589,0.012888896
41,0.011831392,0.012795632
42,0.012876837,0.012722795
43,0.010918027,0.012667659
44,0.011889898,0.012570398
45,0.013436977,0.012414038
46,0.013355667,0.012269205
47,0.012245003,0.01211254
48,0.010547561,0.011983915
49,0.011250614,0.011899594
50,0.011149711,0.011781278
51,0.011309616,0.011701759
52,0.0107527,0.011653751
53,0.011950379,0.011620325
54,0.0125331,0.011574268
55,0.011019713,0.011522618
56,0.011568813,0.011455142
57,0.012097149,0.011366423
58,0.01178544,0.011292646
59,0.011037625,0.01123136
60,0.01219857,0.011194689
61,0.011708983,0.011186369
62,0.010728316,0.011162416
63,0.011788743,0.01112247
64,0.011002397,0.011091075
65,0.011247626,0.011023825
66,0.011180717,0.010949167
67,0.01140933,0.010853885
68,0.010835159,0.010762726
69,0.009127411,0.010722197
70,0.009914445,0.010676227
71,0.009400317,0.01061225
72,0.009870656,0.010523126
73,0.00941607,0.010433474
74,0.009194824,0.010347527
75,0.009065968,0.010260525
76,0.009618081,0.010178274
77,0.009603102,0.010111845
78,0.009326846,0.010041576
79,0.009521627,0.00996712
80,0.009527156,0.00990336
81,0.009183462,0.009835184
82,0.010253899,0.009769312
83,0.009335004,0.009712687
84,0.007692315,0.009662754
85,0.00940996,0.009618379
86,0.009753521,0.009590328
87,0.008584472,0.009554067
88,0.009328033,0.009505028
89,0.010745062,0.00944244
90,0.010008473,0.009396952
91,0.009851924,0.009353939
92,0.009640406,0.009309337
93,0.009679497,0.00925041
94,0.009865926,0.009211896
95,0.008696084,0.009164849
96,0.009080583,0.009111219
97,0.008816763,0.009064188
98,0.009113623,0.00901812
99,0.008253293,0.008969866
100,0.007935499,0.008931987
101,0.008369754,0.008895274
102,0.008908889,0.008859234
103,0.008213499,0.008819898
104,0.008829132,0.008764077
105,0.008843105,0.008710555
106,0.008479536,0.008653143
107,0.00796664,0.00861135
108,0.0086056,0.008566332
109,0.008244365,0.008526241
110,0.008808682,0.008480027
111,0.007852162,0.008428699
112,0.01025885,0.008355052
113,0.007680021,0.008303631
114,0.007840413,0.008256626
115,0.007416198,0.008218964
116,0.007719471,0.008179358
117,0.008993423,0.008139173
118,0.009064651,0.008099642
119,0.007932513,0.008033081
120,0.008307525,0.007965209
121,0.008170773,0.007915709
122,0.007301369,0.007881759
123,0.006984658,0.007849519
124,0.006981038,0.007812436
125,0.008288092,0.007762514
126,0.008587776,0.007724821
127,0.006927623,0.007690507
128,0.007294352,0.007658204
129,0.007911976,0.007612594
130,0.007244677,0.007568663
131,0.007416309,0.007539469
132,0.007030398,0.007518721
133,0.007104454,0.007487573
134,0.008018516,0.00744324
135,0.008055993,0.007403587
136,0.007295242,0.007368795
137,0.007388285,0.007331843
138,0.008169991,0.007304045
139,0.007534445,0.007273798
140,0.007177053,0.007227832
141,0.006868647,0.007172257
142,0.006425084,0.007121244
143,0.006353112,0.007070469
144,0.007042432,0.0070183
145,0.006520937,0.006975102
146,0.006439271,0.006922958
147,0.006201604,0.006870018
148,0.006652897,0.006824509
149,0.006843604,0.00677363
150,0.007077028,0.006731619
151,0.006516841,0.006690708
152,0.006437971,0.006653576
153,0.00684991,0.00662505
154,0.00784317,0.006596034
155,0.006356236,0.00656314
156,0.006658187,0.006533764
157,0.006621825,0.006504401
158,0.006746894,0.006477936
159,0.007230383,0.006446739
160,0.006245244,0.006402314
161,0.005959969,0.006353046
162,0.006618735,0.006318141
163,0.006198432,0.006289862
164,0.007119758,0.00625601
165,0.006296891,0.006213493
166,0.005887576,0.006167751
167,0.006438584,0.006114671
168,0.00625274,0.00606687
169,0.005640266,0.006021265
170,0.004984225,0.005980225
171,0.005859886,0.005949793
172,0.005927976,0.005915882
173,0.006188255,0.005876985
174,0.005798226,0.005838265
175,0.005440231,0.005798777
176,0.005573258,0.005757716
177,0.005179152,0.005721226
178,0.006449675,0.005689606
179,0.00586664,0.005661952
180,0.005404338,0.005634137
181,0.005731164,0.005616723
182,0.005440439,0.005597989
183,0.00586629,0.005577577
184,0.005398364,0.005557399
185,0.005576967,0.005536181
186,0.005590164,0.005527719
187,0.004648384,0.005514189
188,0.005676219,0.005491057
189,0.004789703,0.005468523
190,0.0054506,0.005443188
191,0.005515372,0.005416784
192,0.006556042,0.005381267
193,0.005421273,0.005359242
194,0.005243375,0.005339213
195,0.005094688,0.005321802
196,0.00510181,0.005303989
197,0.005323369,0.005283523
198,0.00504612,0.005258206
199,0.005417264,0.005232585
200,0.005278876,0.005214299
