Epoch,Training_errors,Validation_errors
0,0.012213833,0.011263152
1,0.004132512,0.004379092
2,0.004380717,0.004755187
3,0.003365909,0.003537581
4,0.003057386,0.003365931
5,0.003462798,0.002972533
6,0.003047445,0.002777047
7,0.002283538,0.002721849
8,0.002651699,0.002563554
9,0.002377267,0.00240982
10,0.002408834,0.002343683
11,0.00220454,0.00224424
12,0.001940312,0.002184445
13,0.001887283,0.002119675
14,0.002468471,0.002056732
15,0.00231227,0.002012188
16,0.001898049,0.001957492
17,0.001861896,0.001955525
18,0.002014869,0.00186941
19,0.001688805,0.001818586
20,0.001859513,0.00176211
21,0.001854926,0.001817278
22,0.001906221,0.001697002
23,0.001696206,0.001629445
24,0.001665892,0.001610783
25,0.001541258,0.001563645
26,0.00148613,0.001568031
27,0.001843304,0.001533749
28,0.001542419,0.001486219
29,0.001540062,0.001452915
30,0.001444297,0.00141691
31,0.001586098,0.00138403
32,0.001532705,0.001376382
33,0.001552097,0.001328524
34,0.001552586,0.001305611
35,0.001458287,0.001277781
36,0.001245993,0.001245883
37,0.001386549,0.0012298
38,0.001465585,0.001213636
39,0.001348446,0.001215952
40,0.001231458,0.00120774
41,0.001087303,0.001185814
42,0.001211873,0.001176824
43,0.00128692,0.001176841
44,0.001131082,0.001147664
45,0.001127269,0.001122786
46,0.001108331,0.001113006
47,0.001239754,0.001120649
48,0.001073916,0.001093185
49,0.00100093,0.001085284
50,0.001155164,0.001088021
51,0.001023328,0.001066511
52,0.001072528,0.001058468
53,0.00091261,0.001056201
54,0.001170726,0.001050418
55,0.001101787,0.001027829
56,0.001046079,0.001020595
57,0.001042005,0.001013789
58,0.00107391,0.001000489
59,0.000952995,0.001050392
60,0.001006173,0.001032539
61,0.001006222,0.000993804
62,0.001054904,0.00098958
63,0.000923206,0.000981425
64,0.001054804,0.00096601
65,0.000780261,0.000947307
66,0.001029,0.000932676
67,0.000916457,0.000924514
68,0.000945442,0.00095614
69,0.00083412,0.000922468
70,0.000911202,0.000903967
71,0.000893215,0.000891802
72,0.000917697,0.000911466
73,0.000897739,0.000890792
74,0.000814648,0.000892785
75,0.000840475,0.000893659
76,0.000851631,0.000887114
77,0.000764061,0.000871324
78,0.000936051,0.000871376
79,0.000879291,0.000895898
80,0.000730142,0.000862935
81,0.0008317,0.000849326
82,0.000782509,0.00083925
83,0.000878232,0.000841481
84,0.000825472,0.000821113
85,0.000757453,0.000813222
86,0.000697641,0.000869964
87,0.000753449,0.000811187
88,0.000654189,0.000790479
89,0.00081814,0.000779572
90,0.000747135,0.000764863
91,0.000818388,0.000748883
92,0.000745778,0.000747485
93,0.000777596,0.000733118
94,0.000843874,0.000748183
95,0.000732314,0.00073404
96,0.000792462,0.000729235
97,0.000719497,0.000695692
98,0.000680146,0.000688431
99,0.000670236,0.000687114
100,0.000631086,0.000711669
101,0.000637205,0.000688464
102,0.000676162,0.00068328
103,0.000637844,0.000685646
104,0.000711909,0.000675729
105,0.000654549,0.000672193
106,0.00065777,0.000668846
107,0.000731122,0.000671787
108,0.00061007,0.000689371
109,0.000597401,0.000670086
110,0.000642253,0.000660477
111,0.00065046,0.000656021
112,0.000693926,0.000651667
113,0.000680363,0.000661146
114,0.000658836,0.000650215
115,0.000609462,0.000637935
116,0.000680268,0.00064437
117,0.000719643,0.000633856
118,0.000601932,0.0006292
119,0.000557542,0.000639307
120,0.000662847,0.00062545
121,0.000534367,0.00062016
122,0.000635081,0.000618461
123,0.000672642,0.000621574
124,0.000610397,0.00060291
125,0.000648957,0.000597856
126,0.000640479,0.000598366
127,0.000647695,0.000590075
128,0.000573826,0.000587614
129,0.000588592,0.000599186
130,0.000582972,0.000606963
131,0.000583388,0.000574724
132,0.000556765,0.000577661
133,0.000567079,0.000565029
134,0.000621081,0.000568737
135,0.000518308,0.000568053
136,0.000570589,0.000563913
137,0.000467138,0.000571064
138,0.000529368,0.000558074
139,0.000499725,0.000544403
140,0.000580631,0.000540184
141,0.000515599,0.000538574
142,0.000498918,0.000539549
143,0.000473424,0.000536999
144,0.000469108,0.000541719
145,0.000603885,0.000533506
146,0.000486903,0.000521713
147,0.00048998,0.00051753
148,0.000524549,0.000516621
149,0.000510607,0.000517104
150,0.000468499,0.000511565
151,0.000444466,0.000519431
152,0.000429615,0.000508994
153,0.000443167,0.000498773
154,0.000550744,0.000498334
155,0.000416382,0.000507456
156,0.000419974,0.000519211
157,0.000480747,0.00049105
158,0.000435039,0.000489227
159,0.00050701,0.000490364
160,0.000454334,0.000484575
161,0.000454221,0.000498687
162,0.000440315,0.00048516
163,0.000410509,0.000493114
164,0.000456833,0.000483679
165,0.000453086,0.000478126
166,0.000465575,0.000477669
167,0.000476309,0.000476807
168,0.000430806,0.00047921
169,0.000490974,0.00047627
170,0.000420672,0.00047016
171,0.000412762,0.000469409
172,0.00042814,0.000460716
173,0.000486189,0.000458918
174,0.000462848,0.000456019
175,0.000425966,0.000466391
176,0.000401958,0.000467134
177,0.000448823,0.000446734
178,0.000439484,0.000444324
179,0.00040945,0.000444218
180,0.000400997,0.000443035
181,0.000505539,0.00043686
182,0.000416555,0.000439314
183,0.000393881,0.000433722
184,0.000402284,0.000424474
185,0.000373609,0.000420383
186,0.000491888,0.000417119
187,0.000394361,0.000416664
188,0.000412701,0.000428617
189,0.000405027,0.00041644
190,0.000390741,0.000412564
191,0.00041386,0.000415304
192,0.000400621,0.000408188
193,0.000412301,0.000402943
194,0.000378703,0.000404048
195,0.000408855,0.000400229
196,0.000347782,0.000398162
197,0.00033617,0.000400889
198,0.000407133,0.000394956
199,0.000344579,0.000393036
200,0.000349446,0.000394545
201,0.000356056,0.000388247
202,0.000379081,0.000386561
203,0.000378201,0.000386892
204,0.000393394,0.00038064
205,0.000367785,0.000379002
206,0.000440026,0.000384068
207,0.000376781,0.00037239
208,0.000345677,0.000371241
209,0.00031147,0.000369978
210,0.000335009,0.000367932
211,0.000339998,0.000371689
212,0.000348238,0.000368671
213,0.000328577,0.000365221
214,0.000377302,0.000372447
215,0.000304113,0.00036252
216,0.000329844,0.000359855
217,0.00034519,0.000371339
218,0.000346993,0.00035785
219,0.000263488,0.000356528
220,0.000322661,0.00035808
221,0.000315606,0.000371051
222,0.000364087,0.000352621
223,0.000355648,0.000352729
224,0.000335318,0.000357162
225,0.000341006,0.000395086
226,0.000343546,0.000351984
227,0.000303616,0.00034978
228,0.00029949,0.000351467
229,0.000411348,0.000353762
230,0.000376009,0.000351072
231,0.000316298,0.000353494
232,0.000329833,0.000345143
233,0.000367397,0.000343584
234,0.000316982,0.000344463
235,0.000312179,0.000333992
236,0.000325538,0.000329842
237,0.000252131,0.000329339
238,0.000279388,0.000331882
239,0.000368526,0.00032433
240,0.000267471,0.000321822
241,0.00028373,0.000319981
242,0.00033524,0.000318448
243,0.000290193,0.00032344
244,0.000290638,0.000316106
245,0.000318794,0.000313577
246,0.000315386,0.000313072
247,0.00029215,0.000313048
248,0.000280309,0.000311567
249,0.000285281,0.000322293
250,0.000287693,0.000308627
251,0.000264086,0.000307451
252,0.000268863,0.000307323
253,0.000287254,0.00030788
254,0.000236709,0.000308237
255,0.000344026,0.0003013
256,0.000290934,0.000299951
257,0.000246167,0.000315419
258,0.000307776,0.000303189
259,0.000282888,0.000298165
260,0.00027435,0.000319953
261,0.000295291,0.000302971
262,0.000288464,0.000301791
263,0.000297769,0.000287376
264,0.000318683,0.00029252
265,0.000252051,0.000283017
266,0.000284866,0.000278649
267,0.000242136,0.000281762
268,0.000265188,0.000277384
269,0.000307979,0.000273657
270,0.000273214,0.000273655
271,0.00023887,0.000275556
272,0.000245108,0.000269967
273,0.000213492,0.000271015
274,0.000274676,0.000275424
275,0.000258333,0.000274572
276,0.000245935,0.000281083
277,0.000257827,0.000272478
278,0.000261738,0.00026793
279,0.000234833,0.000273976
280,0.000259039,0.000270118
281,0.000222401,0.000267393
282,0.000264611,0.000265092
283,0.000223197,0.000262681
284,0.000231598,0.000266801
285,0.000230372,0.000260078
286,0.00029343,0.000264489
287,0.000298232,0.000270565
288,0.00021064,0.000266526
289,0.000256336,0.000253789
290,0.000257805,0.000252761
291,0.000232562,0.00025252
292,0.000227726,0.000256294
293,0.000250909,0.00025196
294,0.000212033,0.000259418
295,0.00020798,0.000258326
296,0.000255604,0.000251201
297,0.000244581,0.000255793
298,0.000246177,0.000253133
299,0.000234255,0.000249607
300,0.000209083,0.000252929
301,0.000205375,0.000246477
302,0.000227672,0.000248807
303,0.000220605,0.000246222
304,0.000205946,0.000242313
305,0.000206115,0.000239809
306,0.000221787,0.000238213
307,0.000180139,0.000243549
308,0.000207932,0.000237391
309,0.000243767,0.000234516
310,0.000207357,0.000236876
311,0.000207304,0.000232467
312,0.000248207,0.000231853
313,0.000210232,0.000238338
314,0.000213759,0.000236784
315,0.000236562,0.000224772
316,0.000195125,0.000224188
317,0.000189263,0.000224031
318,0.00018254,0.000222871
319,0.00019963,0.000221614
320,0.000204008,0.000221819
321,0.000220593,0.000224086
322,0.00020769,0.000222706
323,0.00021535,0.000225205
324,0.000170784,0.000223546
325,0.000199458,0.000234656
326,0.000195988,0.000226216
327,0.000239585,0.000226377
328,0.000213375,0.000228795
329,0.000200106,0.00022291
330,0.000232566,0.000231155
331,0.00021341,0.000228429
332,0.000196359,0.00022134
333,0.0001959,0.00021882
334,0.000206653,0.000216228
335,0.000194609,0.000213602
336,0.000161158,0.00021183
337,0.000192299,0.000210551
338,0.00018322,0.000210314
339,0.000191671,0.000212919
340,0.000206414,0.000210109
341,0.000181438,0.000205674
342,0.000216375,0.000203169
343,0.000190667,0.000202581
344,0.000180499,0.000200672
345,0.000175751,0.000200062
346,0.000190406,0.000198578
347,0.000205272,0.000207323
348,0.000200808,0.000194341
349,0.000161519,0.00019539
350,0.000172501,0.000189418
351,0.000181026,0.000224817
352,0.000192911,0.000200075
353,0.000217952,0.000188136
354,0.000185173,0.000197651
355,0.000194985,0.000190308
356,0.000146796,0.000188052
357,0.000187887,0.000194367
358,0.000183384,0.000183737
359,0.000191704,0.000181238
360,0.000140099,0.000178526
361,0.000175055,0.000177548
362,0.000193544,0.000177611
363,0.000182603,0.000174605
364,0.00016644,0.000174017
365,0.00019531,0.000172883
366,0.000181101,0.000170079
367,0.000186522,0.000169481
368,0.000193409,0.000171009
369,0.000168556,0.000171603
370,0.000149608,0.000166992
371,0.00017081,0.000168728
372,0.000180526,0.000165841
373,0.000151109,0.000175223
374,0.000172215,0.000173807
375,0.000169901,0.000166149
376,0.000133385,0.000163629
377,0.000162524,0.000164991
378,0.000139124,0.000168832
379,0.000160077,0.000166123
380,0.000138331,0.000176251
381,0.000157264,0.000170229
382,0.000141335,0.000163835
383,0.000155033,0.000174262
384,0.000149189,0.000164217
